EmployeeNumber,Department,JobRole,MonthlyIncome,YearsAtCompany,OverTime,JobSatisfaction,Risk_Score,Risk_Percentage,Risk_Level,Retention_Priority
1489,Sales,Sales Executive,4599,15,Yes,2,0.8795516514941464,87.96,High,Priority
1296,Research & Development,Laboratory Technician,3867,2,Yes,4,0.8783930071315025,87.84,High,Normal
424,Human Resources,Human Resources,6410,2,No,1,0.8762314637035752,87.62,High,Normal
355,Research & Development,Laboratory Technician,3479,5,No,2,0.87589052353476,87.59,High,Priority
783,Sales,Sales Representative,6632,8,No,3,0.8750899222933667,87.51,High,Priority
1594,Research & Development,Laboratory Technician,5562,3,Yes,1,0.8748187697965928,87.48,High,Priority
1001,Research & Development,Laboratory Technician,2811,2,No,2,0.8730110615758665,87.3,High,Normal
1734,Sales,Sales Executive,6735,0,No,2,0.8714605357496534,87.15,High,Normal
846,Sales,Sales Executive,4779,8,Yes,2,0.8672631781686538,86.73,High,Priority
669,Sales,Sales Representative,3447,3,No,3,0.8670994544724746,86.71,High,Priority
1148,Research & Development,Laboratory Technician,4272,1,No,4,0.8660170484846698,86.6,High,Normal
75,Research & Development,Laboratory Technician,4014,2,Yes,1,0.864945151478595,86.49,High,Normal
1079,Research & Development,Laboratory Technician,1416,1,No,1,0.8640553307878523,86.41,High,Normal
785,Sales,Sales Executive,6397,5,Yes,3,0.8618232330808585,86.18,High,Priority
796,Sales,Sales Executive,5326,4,No,1,0.8608883737086175,86.09,High,Priority
1975,Sales,Sales Executive,13341,20,No,1,0.8604125163797933,86.04,High,Priority
608,Human Resources,Human Resources,2741,7,Yes,3,0.8592464267433726,85.92,High,Priority
1016,Research & Development,Research Scientist,2600,1,Yes,1,0.8573578280174363,85.74,High,Normal
411,Sales,Sales Representative,1200,0,No,3,0.8550739113480811,85.51,High,Normal
1158,Research & Development,Laboratory Technician,4766,1,Yes,4,0.8509747829850288,85.1,High,Normal
2055,Sales,Sales Executive,10854,3,Yes,1,0.8507573888981425,85.08,High,Priority
1173,Research & Development,Laboratory Technician,3597,4,No,2,0.850506211484801,85.05,High,Priority
1680,Sales,Sales Representative,2728,2,No,1,0.8492508901863235,84.93,High,Normal
1650,Sales,Sales Executive,5869,5,No,3,0.8488183225951037,84.88,High,Priority
502,Sales,Sales Executive,5304,5,Yes,4,0.8462592351625059,84.63,High,Priority
1604,Research & Development,Laboratory Technician,2408,1,Yes,2,0.8452104393782524,84.52,High,Normal
593,Research & Development,Laboratory Technician,3894,2,No,3,0.8421249376547282,84.21,High,Normal
1646,Research & Development,Research Scientist,3760,6,Yes,4,0.8393216041347371,83.93,High,Priority
1642,Human Resources,Human Resources,5743,10,Yes,4,0.8371859907191271,83.72,High,Priority
1939,Research & Development,Research Scientist,2432,4,Yes,3,0.8369011128338784,83.69,High,Priority
331,Research & Development,Laboratory Technician,3730,3,Yes,3,0.836669324695681,83.67,High,Priority
269,Research & Development,Laboratory Technician,4425,6,No,2,0.8356236554054725,83.56,High,Priority
394,Research & Development,Laboratory Technician,2373,3,Yes,2,0.8341941846839845,83.42,High,Priority
1961,Sales,Sales Representative,2858,1,No,1,0.8338172765088026,83.38,High,Normal
1380,Sales,Sales Executive,4614,4,Yes,3,0.8323964811931026,83.24,High,Priority
1377,Research & Development,Laboratory Technician,5429,8,No,3,0.8311561725251738,83.12,High,Priority
436,Sales,Sales Executive,5228,13,Yes,2,0.829749951773502,82.97,High,Priority
1379,Sales,Sales Representative,2785,1,No,4,0.8286438223727965,82.86,High,Normal
7,Research & Development,Laboratory Technician,3468,2,No,2,0.8274551802797748,82.75,High,Normal
1372,Sales,Sales Executive,13695,19,Yes,3,0.8272052579046721,82.72,High,Priority
741,Research & Development,Research Scientist,2216,7,Yes,2,0.8267580553109865,82.68,High,Priority
454,Research & Development,Laboratory Technician,2119,7,Yes,1,0.8261506412216629,82.62,High,Priority
243,Research & Development,Laboratory Technician,1102,1,No,4,0.8212036385656973,82.12,High,Normal
994,Research & Development,Research Scientist,2404,0,Yes,1,0.8187596164205656,81.88,High,Normal
467,Sales,Sales Representative,2976,0,No,3,0.8180880959789462,81.81,High,Normal
918,Research & Development,Laboratory Technician,2380,1,Yes,4,0.8141429399572667,81.41,High,Normal
475,Sales,Sales Executive,4736,2,Yes,3,0.8138531788719123,81.39,High,Normal
1549,Research & Development,Laboratory Technician,5207,15,Yes,3,0.812301217074194,81.23,High,Priority
1299,Research & Development,Laboratory Technician,3339,7,Yes,3,0.811984424637026,81.2,High,Priority
1017,Research & Development,Laboratory Technician,2422,3,No,2,0.8108824028157842,81.09,High,Priority
1307,Research & Development,Manager,17123,19,Yes,2,0.8092704224245396,80.93,High,Priority
732,Sales,Sales Executive,5405,2,No,1,0.8076834737253257,80.77,High,Normal
1967,Sales,Sales Executive,5617,10,Yes,4,0.8059557147892777,80.6,High,Priority
1281,Sales,Sales Executive,4538,3,Yes,1,0.8053083787274834,80.53,High,Priority
1878,Research & Development,Research Scientist,2472,1,Yes,2,0.8049264715537761,80.49,High,Normal
440,Research & Development,Research Scientist,3464,3,Yes,4,0.804576558629038,80.46,High,Priority
792,Research & Development,Laboratory Technician,4364,2,No,4,0.803965342785266,80.4,High,Normal
492,Sales,Sales Executive,6380,6,Yes,3,0.8023541870385932,80.24,High,Priority
2003,Research & Development,Laboratory Technician,2660,2,Yes,3,0.802313941057078,80.23,High,Normal
325,Research & Development,Laboratory Technician,2436,5,Yes,4,0.8019133730219415,80.19,High,Priority
1522,Research & Development,Research Scientist,2362,9,No,1,0.800824529817899,80.08,High,Priority
1458,Research & Development,Laboratory Technician,3646,1,Yes,1,0.8008023365131255,80.08,High,Normal
527,Sales,Sales Executive,4487,5,Yes,4,0.8002698278937989,80.03,High,Priority
282,Research & Development,Healthcare Representative,6673,1,Yes,1,0.8001653693867203,80.02,High,Normal
1100,Sales,Sales Executive,9582,8,Yes,1,0.7983928428439884,79.84,High,Priority
896,Sales,Sales Representative,2800,3,Yes,3,0.7972340014617151,79.72,High,Priority
1111,Research & Development,Laboratory Technician,2596,1,No,2,0.7956187493454081,79.56,High,Normal
2053,Research & Development,Laboratory Technician,4025,4,Yes,2,0.7924418512467839,79.24,High,Priority
364,Research & Development,Laboratory Technician,3485,0,No,3,0.7917571725704359,79.18,High,Normal
991,Research & Development,Research Scientist,2321,3,Yes,1,0.7911687916051512,79.12,High,Priority
27,Sales,Sales Representative,3407,5,No,1,0.7904735619125335,79.05,High,Priority
913,Research & Development,Research Scientist,2559,8,Yes,1,0.7865110623001114,78.65,High,Priority
1350,Research & Development,Research Scientist,4249,9,Yes,3,0.7841910280226424,78.42,High,Priority
1036,Sales,Sales Executive,6861,1,Yes,4,0.7835957336903342,78.36,High,Normal
494,Sales,Sales Representative,2716,1,No,2,0.7819377976433319,78.19,High,Normal
1639,Sales,Sales Executive,10306,13,No,1,0.7817392488493129,78.17,High,Priority
274,Research & Development,Manufacturing Director,4298,2,No,1,0.78171467995688,78.17,High,Normal
113,Sales,Sales Representative,2322,0,No,1,0.7798626329423717,77.99,High,Normal
1916,Research & Development,Laboratory Technician,3978,2,No,3,0.7789091906960479,77.89,High,Normal
566,Human Resources,Human Resources,2564,1,No,4,0.777700829672686,77.77,High,Normal
1556,Sales,Sales Representative,2644,3,Yes,4,0.7756157515374587,77.56,High,Priority
1714,Human Resources,Human Resources,1555,1,No,3,0.7750113218628747,77.5,High,Normal
190,Research & Development,Laboratory Technician,4200,5,No,1,0.7736153891247728,77.36,High,Priority
854,Research & Development,Research Scientist,3424,4,No,1,0.7734972556124866,77.35,High,Priority
1876,Sales,Sales Representative,1081,1,No,4,0.7733551066724533,77.34,High,Normal
1933,Sales,Sales Executive,9854,2,Yes,3,0.767809881072049,76.78,High,Normal
2013,Sales,Sales Representative,2269,2,No,2,0.7676707935853387,76.77,High,Normal
362,Research & Development,Laboratory Technician,2176,6,No,1,0.7669179904368828,76.69,High,Priority
508,Sales,Sales Representative,2476,1,No,2,0.764708083250892,76.47,High,Normal
1396,Sales,Sales Executive,4078,3,Yes,2,0.7635063955876707,76.35,High,Priority
1269,Research & Development,Research Scientist,2994,1,Yes,4,0.7632026109467399,76.32,High,Normal
1496,Research & Development,Manufacturing Director,10209,2,Yes,3,0.7623867149537992,76.24,High,Priority
647,Research & Development,Laboratory Technician,2886,6,Yes,3,0.7611139390787611,76.11,High,Priority
1248,Research & Development,Research Scientist,1859,1,Yes,2,0.7592313372281947,75.92,High,Normal
205,Sales,Sales Representative,2306,7,Yes,3,0.7576408786832508,75.76,High,Priority
1551,Research & Development,Laboratory Technician,2296,1,No,1,0.7575509889517009,75.76,High,Normal
1783,Research & Development,Laboratory Technician,2398,1,Yes,1,0.7565599908497685,75.66,High,Normal
1702,Sales,Sales Representative,2275,3,Yes,4,0.7561265142555168,75.61,High,Priority
941,Sales,Sales Representative,2329,7,No,3,0.7546941540703777,75.47,High,Priority
1735,Research & Development,Laboratory Technician,3295,3,No,2,0.7531371351649323,75.31,High,Priority
405,Research & Development,Laboratory Technician,1420,0,No,3,0.7531331528052118,75.31,High,Normal
51,Research & Development,Research Scientist,3419,1,Yes,1,0.7523832672168247,75.24,High,Normal
1740,Sales,Manager,19833,21,No,2,0.7497379575218587,74.97,High,Priority
1797,Sales,Sales Executive,5813,10,Yes,4,0.7468582768144657,74.69,High,Priority
811,Research & Development,Laboratory Technician,1601,0,Yes,1,0.7466378793507248,74.66,High,Normal
1669,Sales,Sales Executive,4187,10,Yes,2,0.744835897155719,74.48,High,Priority
587,Research & Development,Healthcare Representative,9824,1,No,3,0.7437446977782491,74.37,High,Priority
1733,Sales,Sales Executive,6134,2,Yes,1,0.7429760733802706,74.3,High,Normal
577,Research & Development,Laboratory Technician,4230,5,No,3,0.7425976398985016,74.26,High,Priority
585,Sales,Sales Representative,2983,3,No,2,0.7424245085259997,74.24,High,Priority
1614,Research & Development,Manufacturing Director,4663,3,Yes,3,0.7419593482092351,74.2,High,Priority
1905,Research & Development,Research Scientist,2307,5,Yes,1,0.7419217872830158,74.19,High,Priority
4,Research & Development,Laboratory Technician,2090,0,Yes,3,0.7412672080909664,74.13,High,Normal
1083,Research & Development,Laboratory Technician,3955,5,No,1,0.7408919754051084,74.09,High,Priority
1421,Research & Development,Healthcare Representative,7553,8,Yes,4,0.7397169501473851,73.97,High,Priority
525,Research & Development,Laboratory Technician,2258,3,No,4,0.7384624982562445,73.85,High,Priority
927,Research & Development,Laboratory Technician,2778,7,Yes,4,0.7367389929522639,73.67,High,Priority
803,Research & Development,Manufacturing Director,5980,15,Yes,1,0.7366622220049088,73.67,High,Priority
238,Research & Development,Laboratory Technician,2088,8,No,2,0.7357646855323488,73.58,High,Priority
652,Research & Development,Laboratory Technician,3681,3,No,4,0.7351869010545335,73.52,High,Priority
723,Sales,Sales Executive,6796,4,Yes,3,0.734964721008424,73.5,High,Priority
1107,Research & Development,Laboratory Technician,2377,1,No,3,0.7345569232163431,73.46,High,Normal
773,Research & Development,Research Scientist,3057,1,Yes,3,0.7334997035314333,73.35,High,Normal
922,Sales,Sales Representative,2044,2,No,3,0.7304726120418356,73.05,High,Normal
1801,Sales,Sales Executive,7991,2,No,2,0.7302530815415715,73.03,High,Normal
382,Sales,Sales Executive,5605,8,Yes,1,0.7296527435288712,72.97,High,Priority
1960,Research & Development,Laboratory Technician,2367,4,No,4,0.7291009688270867,72.91,High,Priority
1125,Sales,Sales Executive,7351,1,No,2,0.7289607153385944,72.9,High,Priority
954,Sales,Sales Executive,9705,1,No,2,0.7271641832414131,72.72,High,Priority
746,Sales,Sales Executive,13770,22,Yes,3,0.7260506448783601,72.61,High,Priority
1835,Sales,Sales Representative,5405,4,Yes,4,0.7253963641418711,72.54,High,Priority
315,Research & Development,Research Scientist,2389,4,Yes,4,0.7245985087146506,72.46,High,Priority
1239,Sales,Sales Executive,6852,5,No,2,0.723912488826311,72.39,High,Priority
1747,Human Resources,Human Resources,2180,4,No,4,0.7214408134322319,72.14,High,Priority
1675,Research & Development,Laboratory Technician,2440,4,No,2,0.720794650802376,72.08,High,Priority
79,Research & Development,Laboratory Technician,2406,10,No,4,0.7201939116699252,72.02,High,Priority
120,Sales,Sales Executive,5441,10,Yes,4,0.7186245799833987,71.86,High,Priority
1387,Sales,Sales Executive,4724,5,No,1,0.7177150749096399,71.77,High,Priority
281,Research & Development,Laboratory Technician,2741,7,Yes,4,0.7148217641440179,71.48,High,Priority
513,Sales,Sales Executive,7596,10,No,3,0.7142122090450098,71.42,High,Priority
1568,Sales,Sales Executive,9250,4,No,2,0.7137943779743153,71.38,High,Priority
133,Human Resources,Human Resources,2073,3,Yes,1,0.7106387803127575,71.06,High,Priority
1535,Sales,Sales Executive,7083,10,Yes,3,0.7106022729579349,71.06,High,Priority
363,Sales,Manager,16872,7,Yes,2,0.7097461231418442,70.97,High,Priority
1066,Sales,Sales Executive,8396,7,No,1,0.708880569956453,70.89,High,Priority
446,Sales,Sales Executive,4682,7,No,4,0.7071233350113622,70.71,High,Priority
1853,Sales,Sales Executive,4648,0,No,4,0.7066891690553735,70.67,High,Normal
584,Research & Development,Laboratory Technician,3408,4,No,4,0.7065506180694954,70.66,High,Priority
618,Sales,Sales Executive,4306,0,No,3,0.7063780946261402,70.64,High,Normal
104,Research & Development,Laboratory Technician,5126,10,Yes,4,0.7057314667990359,70.57,High,Priority
392,Research & Development,Laboratory Technician,3161,1,Yes,3,0.7037957239660936,70.38,High,Normal
1014,Research & Development,Healthcare Representative,10388,16,Yes,3,0.7022480015999267,70.22,High,Priority
1226,Sales,Sales Representative,2678,2,No,4,0.7011629850086759,70.12,High,Normal
1010,Research & Development,Laboratory Technician,3743,4,Yes,2,0.6991251649705953,69.91,Medium,Priority
1052,Research & Development,Laboratory Technician,4834,1,No,3,0.6988997993066952,69.89,Medium,Normal
925,Sales,Sales Representative,3294,3,Yes,4,0.6982906592925175,69.83,Medium,Priority
1704,Research & Development,Research Scientist,4930,5,Yes,4,0.6969690270671852,69.7,Medium,Priority
2040,Human Resources,Human Resources,8837,9,Yes,4,0.6955534767115686,69.56,Medium,Priority
1403,Sales,Sales Executive,5769,6,Yes,4,0.6949988192369905,69.5,Medium,Priority
939,Research & Development,Research Scientist,2799,3,Yes,1,0.6948879555062879,69.49,Medium,Priority
1419,Human Resources,Human Resources,7988,10,No,1,0.6943526809907631,69.44,Medium,Priority
1415,Research & Development,Laboratory Technician,3229,3,No,4,0.6870878108672278,68.71,Medium,Priority
1371,Sales,Sales Executive,5071,6,No,4,0.6870867652249567,68.71,Medium,Priority
1893,Research & Development,Research Scientist,2933,1,Yes,3,0.6865123262645535,68.65,Medium,Normal
434,Research & Development,Research Scientist,2478,4,Yes,2,0.6858551056120814,68.59,Medium,Priority
885,Sales,Sales Executive,4256,5,No,1,0.6854802203072137,68.55,Medium,Priority
1481,Sales,Sales Executive,4768,1,No,3,0.6851659147268059,68.52,Medium,Normal
1539,Research & Development,Research Director,14411,32,Yes,4,0.6843846016018534,68.44,Medium,Priority
1856,Research & Development,Laboratory Technician,2105,2,No,3,0.6839130907130752,68.39,Medium,Normal
466,Research & Development,Manufacturing Director,6032,5,Yes,2,0.6836826353128238,68.37,Medium,Priority
881,Research & Development,Research Scientist,2022,10,Yes,2,0.6833076725908727,68.33,Medium,Priority
1282,Sales,Manager,19847,29,Yes,2,0.6820003514353636,68.2,Medium,Priority
904,Sales,Sales Executive,7642,10,Yes,2,0.6769445301567445,67.69,Medium,Priority
1612,Sales,Sales Executive,4385,10,No,1,0.6759378894022158,67.59,Medium,Priority
15,Research & Development,Laboratory Technician,4193,9,Yes,3,0.672612564283488,67.26,Medium,Priority
161,Research & Development,Research Scientist,4963,5,Yes,2,0.6721003280168781,67.21,Medium,Priority
45,Research & Development,Research Scientist,2293,2,Yes,4,0.6708438468815923,67.08,Medium,Normal
684,Sales,Sales Executive,4286,1,No,1,0.6702650185235429,67.03,Medium,Normal
2056,Sales,Sales Executive,12031,20,No,4,0.6701567706555757,67.02,Medium,Priority
875,Research & Development,Research Scientist,2515,2,Yes,4,0.6685310356977263,66.85,Medium,Normal
396,Research & Development,Research Director,18665,3,Yes,1,0.6682005105998315,66.82,Medium,Priority
90,Research & Development,Research Scientist,3388,1,Yes,3,0.6657316923302641,66.57,Medium,Normal
1033,Research & Development,Healthcare Representative,4777,1,No,2,0.6657040868928018,66.57,Medium,Normal
1132,Research & Development,Laboratory Technician,6782,5,No,2,0.6644814689667499,66.45,Medium,Priority
493,Research & Development,Research Scientist,2657,2,Yes,2,0.6640746907124194,66.41,Medium,Normal
488,Sales,Sales Executive,9355,8,No,2,0.6630703070410239,66.31,Medium,Priority
1998,Research & Development,Research Scientist,5410,4,Yes,1,0.662264644907553,66.23,Medium,Priority
538,Research & Development,Laboratory Technician,4031,2,No,1,0.6622172621087481,66.22,Medium,Normal
1985,Research & Development,Laboratory Technician,6323,10,No,3,0.6605891091384662,66.06,Medium,Priority
1850,Research & Development,Laboratory Technician,2379,5,Yes,4,0.6600008449001541,66.0,Medium,Priority
1720,Research & Development,Research Scientist,3433,5,No,3,0.6590051722473724,65.9,Medium,Priority
983,Sales,Sales Executive,5666,5,Yes,4,0.6571337254090563,65.71,Medium,Priority
1486,Sales,Sales Representative,2909,3,No,3,0.6566482820113269,65.66,Medium,Priority
964,Research & Development,Research Scientist,3617,1,Yes,2,0.6550949136136801,65.51,Medium,Normal
1277,Sales,Manager,18824,24,Yes,2,0.6550157802233326,65.5,Medium,Priority
183,Sales,Sales Executive,8639,2,No,3,0.6547231068201257,65.47,Medium,Normal
1405,Research & Development,Research Scientist,2394,8,Yes,3,0.6532261293563947,65.32,Medium,Priority
565,Research & Development,Research Scientist,2546,2,No,2,0.6524756823865046,65.25,Medium,Normal
397,Research & Development,Research Scientist,4485,8,No,2,0.6501483871722049,65.01,Medium,Priority
1180,Research & Development,Research Scientist,4422,1,Yes,4,0.6449962342993947,64.5,Medium,Normal
68,Sales,Sales Executive,5454,4,Yes,1,0.643903206334203,64.39,Medium,Priority
1436,Sales,Sales Executive,5647,3,No,1,0.6429190421836872,64.29,Medium,Priority
1534,Research & Development,Laboratory Technician,2018,5,No,1,0.6425425953973397,64.25,Medium,Priority
124,Research & Development,Healthcare Representative,10673,10,Yes,1,0.6424927690529738,64.25,Medium,Priority
752,Research & Development,Research Scientist,2759,2,Yes,3,0.6424671916414969,64.25,Medium,Normal
1219,Research & Development,Laboratory Technician,2210,1,No,2,0.6424117891309741,64.24,Medium,Normal
1175,Research & Development,Laboratory Technician,2515,1,Yes,4,0.6415123575513231,64.15,Medium,Normal
1502,Research & Development,Laboratory Technician,3838,5,No,2,0.6405275899261302,64.05,Medium,Priority
1739,Sales,Sales Executive,9610,4,No,3,0.640090455027076,64.01,Medium,Priority
2020,Research & Development,Research Scientist,2436,4,Yes,4,0.639872473025561,63.99,Medium,Priority
286,Research & Development,Laboratory Technician,2153,8,No,4,0.6391051192601255,63.91,Medium,Priority
1674,Research & Development,Laboratory Technician,2587,2,Yes,1,0.6389075039926275,63.89,Medium,Normal
1131,Research & Development,Research Scientist,2070,2,Yes,2,0.638503011190878,63.85,Medium,Normal
632,Sales,Sales Representative,2400,2,No,4,0.6375782732263378,63.76,Medium,Normal
663,Research & Development,Laboratory Technician,5679,8,Yes,3,0.6375641850927648,63.76,Medium,Priority
555,Sales,Sales Representative,2351,2,No,3,0.6365821260832107,63.66,Medium,Normal
1779,Sales,Sales Executive,6029,2,No,4,0.634664704124085,63.47,Medium,Normal
1883,Research & Development,Laboratory Technician,2062,3,No,1,0.634138651222258,63.41,Medium,Priority
1297,Research & Development,Laboratory Technician,2838,7,No,3,0.6327181906940121,63.27,Medium,Priority
738,Sales,Sales Representative,3875,2,No,2,0.6326108211528187,63.26,Medium,Normal
267,Research & Development,Research Scientist,3564,8,Yes,1,0.6313312965360333,63.13,Medium,Priority
2027,Research & Development,Research Scientist,4787,2,Yes,4,0.63008061871422,63.01,Medium,Normal
1244,Research & Development,Research Scientist,2235,9,Yes,1,0.6296679400939853,62.97,Medium,Priority
1234,Research & Development,Laboratory Technician,2743,2,No,2,0.6292407265547727,62.92,Medium,Normal
1433,Research & Development,Research Scientist,1261,1,No,2,0.6273181946635344,62.73,Medium,Normal
484,Sales,Sales Representative,2610,3,No,4,0.6248033369959578,62.48,Medium,Priority
